AIC,Params,Seasonal_Params,Model
1565.4402042141292,"(2, 2, 0)","(4, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9065b83df0>
1565.4575091390616,"(2, 2, 0)","(2, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fdd9c0d00>
1565.4582764162524,"(2, 2, 0)","(1, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ff2557ca0>
1565.4612314279373,"(2, 2, 0)","(3, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f383a61f0>
1566.0366019351118,"(3, 1, 4)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90409e65e0>
1566.0366019351118,"(3, 1, 4)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9091387250>
1566.682746423136,"(4, 2, 0)","(4, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e80c674f0>
1567.440098101968,"(2, 2, 0)","(4, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f943cdf10>
1567.4479780725576,"(2, 2, 0)","(3, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f6ecdd9a0>
1567.4583545285093,"(2, 2, 0)","(2, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8faa1ff850>
