AIC,Params,Seasonal_Params,Model,Ljung-Box p-value,Jarque-Bera p-value
1521.6936849107535,"(7, 1, 3)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf014ddee0>,0.9880778171382572,0.00011594171344649244
1521.8950412427268,"(0, 2, 1)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf721a9fd0>,0.5540680471049166,0.45413357533912424
1522.0248484781437,"(1, 1, 3)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf431d8ee0>,0.7876760890296779,7.120104062999345e-05
1522.2231729168495,"(3, 2, 1)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf4543f700>,0.8709545259945267,0.16496269782319772
1522.34713328502,"(1, 1, 1)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf42fbfbb0>,0.5911729885750457,0.0023462179196805043
1522.4375647546506,"(7, 1, 2)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf364e02b0>,0.6565936224444446,1.8353691355419184e-05
1522.6325483294222,"(3, 2, 0)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf6663d4c0>,0.732158696497455,0.19144317775140315
1522.6425173601172,"(0, 2, 1)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf721d0400>,0.5854010914733571,0.3613784648628486
1522.7028646593212,"(0, 1, 0)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf61bcfdf0>,0.7285967453165313,0.06479462210571837
1522.743141122915,"(3, 1, 0)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf8572b7f0>,0.36695231733752776,0.00012130601670485846
1522.7555009368868,"(0, 2, 1)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf62b2aa90>,0.5844482384536466,0.4389112283530223
1522.871038049604,"(1, 2, 1)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf43af2d00>,0.8332514616137146,0.3071887844218569
